,initial_temp,min_temp,max_acc_solutions,instance 0 value,instance 0 num stocks,instance 1 value,instance 1 num stocks,instance 2 value,instance 2 num stocks,instance 3 value,instance 3 num stocks,instance 4 value,instance 4 num stocks,instance 5 value,instance 5 num stocks,instance 6 value,instance 6 num stocks,instance 7 value,instance 7 num stocks,instance 8 value,instance 8 num stocks,instance 9 value,instance 9 num stocks,instance 10 value,instance 10 num stocks,instance 11 value,instance 11 num stocks,instance 12 value,instance 12 num stocks,instance 13 value,instance 13 num stocks,instance 14 value,instance 14 num stocks,instance 15 value,instance 15 num stocks,instance 16 value,instance 16 num stocks,instance 17 value,instance 17 num stocks,instance 18 value,instance 18 num stocks,instance 19 value,instance 19 num stocks,instance 20 value,instance 20 num stocks
51,300,1,4,620.0,16.0,139.0,19.0,4883.0,48.0,1413.0,48.0,146.0,32.0,96538.0,126.0,6525.0,91.0,2710.0,78.0,44883.0,156.0,18958.0,142.0,1360.0,77.0,500457.0,299.0,44585.0,216.0,22014.0,180.0,255455.0,321.0,101830.0,279.0,12146.0,163.0,2074998.0,594.0,356957.0,446.0,198292.0,373.0,1218549.0,646.0
52,300,1,5,615.0,16.0,183.0,19.0,4871.0,48.0,1692.0,48.0,135.0,32.0,96263.0,126.0,6720.0,91.0,3291.0,79.0,38082.0,154.0,20593.0,142.0,2492.0,78.0,520218.0,301.0,46348.0,217.0,26533.0,181.0,251911.0,319.0,106742.0,278.0,11754.0,163.0,2057797.0,593.0,351685.0,444.0,150363.0,368.0,1172008.0,644.0
53,300,1,inf,615.0,16.0,151.0,19.0,4863.0,48.0,1482.0,48.0,436.0,33.0,96315.0,126.0,6843.0,91.0,3482.0,79.0,45915.0,156.0,21430.0,142.0,2061.0,78.0,513081.0,300.0,63060.0,220.0,22937.0,181.0,225240.0,317.0,87194.0,274.0,12428.0,164.0,2114677.0,596.0,366280.0,445.0,176524.0,370.0,1211945.0,646.0
54,300,5,1,620.0,16.0,228.0,19.0,5012.0,48.0,1399.0,48.0,246.0,32.0,96358.0,126.0,6575.0,91.0,2210.0,78.0,41124.0,155.0,24230.0,143.0,1845.0,78.0,524123.0,301.0,51189.0,218.0,25880.0,180.0,249306.0,318.0,96136.0,277.0,11999.0,163.0,2070610.0,594.0,325036.0,441.0,169933.0,370.0,1248307.0,647.0
55,300,5,2,617.0,16.0,216.0,19.0,4913.0,48.0,1392.0,48.0,200.0,32.0,96283.0,126.0,5185.0,90.0,3125.0,79.0,38868.0,154.0,28662.0,145.0,1730.0,78.0,523406.0,301.0,71392.0,222.0,19934.0,179.0,210221.0,315.0,97842.0,278.0,13883.0,164.0,2067942.0,594.0,366453.0,446.0,178047.0,373.0,1301488.0,651.0
56,300,5,3,615.0,16.0,180.0,19.0,4934.0,48.0,1494.0,48.0,177.0,32.0,96244.0,126.0,6622.0,91.0,3675.0,80.0,46913.0,156.0,20838.0,142.0,1541.0,77.0,512775.0,300.0,51579.0,218.0,28052.0,182.0,245055.0,318.0,94513.0,276.0,15238.0,166.0,2028545.0,592.0,344599.0,444.0,161277.0,369.0,1185073.0,644.0
57,300,5,4,615.0,16.0,178.0,19.0,4882.0,48.0,1536.0,48.0,143.0,32.0,96867.0,126.0,5403.0,90.0,2543.0,78.0,44371.0,155.0,20803.0,142.0,1895.0,78.0,500377.0,299.0,49101.0,217.0,22738.0,180.0,234555.0,317.0,96572.0,278.0,10790.0,162.0,2065938.0,594.0,356556.0,446.0,154931.0,368.0,1272503.0,647.0
58,300,5,5,615.0,16.0,232.0,19.0,4918.0,48.0,1367.0,48.0,218.0,32.0,96198.0,126.0,6415.0,91.0,2205.0,78.0,48390.0,157.0,25731.0,144.0,1566.0,77.0,500922.0,299.0,53938.0,219.0,23620.0,180.0,226151.0,316.0,91696.0,277.0,11892.0,163.0,2098802.0,595.0,298104.0,439.0,176056.0,372.0,1172258.0,642.0
59,300,5,inf,615.0,16.0,214.0,19.0,4907.0,48.0,1392.0,48.0,241.0,32.0,96198.0,126.0,7011.0,91.0,2957.0,79.0,40954.0,154.0,16341.0,140.0,1471.0,77.0,512561.0,300.0,50940.0,218.0,29083.0,182.0,226492.0,317.0,101358.0,277.0,14842.0,165.0,2131422.0,597.0,379244.0,448.0,184777.0,372.0,1237687.0,648.0
60,300,10,1,618.0,16.0,221.0,19.0,4922.0,48.0,1630.0,48.0,553.0,33.0,101350.0,127.0,7976.0,92.0,2316.0,78.0,35040.0,153.0,18233.0,141.0,1406.0,77.0,510973.0,300.0,48157.0,217.0,20382.0,179.0,226608.0,317.0,92390.0,275.0,13109.0,164.0,2069220.0,594.0,311500.0,441.0,167801.0,369.0,1297977.0,651.0
61,300,10,2,624.0,16.0,223.0,19.0,4875.0,48.0,1897.0,48.0,255.0,32.0,96347.0,126.0,6782.0,90.0,2831.0,79.0,40148.0,154.0,20819.0,142.0,1551.0,77.0,511633.0,300.0,55295.0,219.0,27198.0,181.0,235598.0,318.0,98271.0,278.0,13080.0,163.0,2163997.0,598.0,291897.0,438.0,151181.0,368.0,1136264.0,641.0
62,300,10,3,615.0,16.0,230.0,19.0,4934.0,48.0,1660.0,48.0,277.0,32.0,96371.0,126.0,4821.0,89.0,3219.0,79.0,37351.0,154.0,23503.0,143.0,1965.0,77.0,514094.0,300.0,51848.0,218.0,27445.0,181.0,222623.0,316.0,95805.0,277.0,14326.0,164.0,2094476.0,595.0,354988.0,445.0,165472.0,369.0,1241925.0,646.0
