,elitism size,mc option,mutation prob,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
25,10,DHM/ILC,,,"(690, 16)","(343, 19)","(7245, 49)","(6579, 52)","(1408, 34)","(103944, 127)","(26127, 97)","(14019, 83)","(122097, 167)","(92898, 156)","(8091, 81)","(596994, 305)","(271278, 244)","(117755, 195)","(607122, 343)","(384928, 305)","(55088, 173)","(2507985, 607)","(1340087, 494)","(590707, 401)","(2812457, 699)"
26,2,DHM/ILC,,,"(1192, 17)","(423, 19)","(7201, 49)","(5852, 51)","(804, 33)","(98179, 126)","(27652, 98)","(14793, 84)","(102908, 164)","(83229, 154)","(9671, 82)","(588354, 305)","(268549, 244)","(123327, 197)","(584755, 342)","(355759, 302)","(50570, 171)","(2474948, 607)","(1372299, 496)","(574427, 399)","(2817238, 701)"
27,2,ILM/DHC,,,"(683, 16)","(366, 19)","(8908, 50)","(4611, 50)","(1359, 34)","(99005, 126)","(24910, 96)","(13358, 83)","(95065, 163)","(82041, 154)","(7833, 80)","(598108, 305)","(258669, 241)","(110677, 196)","(548816, 337)","(354286, 300)","(57128, 174)","(2370955, 601)","(1364253, 495)","(621864, 402)","(2593822, 694)"
28,4,ILM/DHC,,,"(624, 16)","(277, 19)","(5845, 48)","(5701, 51)","(1153, 34)","(103493, 127)","(28647, 98)","(12884, 83)","(117506, 166)","(89370, 155)","(7918, 81)","(565784, 303)","(247846, 242)","(101926, 194)","(574830, 341)","(339121, 299)","(51125, 171)","(2421506, 605)","(1340603, 495)","(535616, 398)","(2738024, 695)"
29,6,FIXED,0.1,0.8,"(655, 16)","(661, 20)","(8569, 50)","(5928, 51)","(762, 33)","(103724, 127)","(32525, 99)","(13490, 83)","(105922, 165)","(86970, 154)","(10125, 82)","(564200, 302)","(251727, 241)","(108088, 195)","(606537, 341)","(354092, 301)","(50114, 171)","(2435872, 605)","(1233515, 490)","(632930, 403)","(2827405, 700)"
30,6,DHM/ILC,,,"(615, 16)","(341, 19)","(5938, 48)","(3981, 49)","(1323, 34)","(104298, 127)","(25330, 96)","(13518, 83)","(108327, 165)","(83288, 153)","(8413, 81)","(587918, 304)","(237024, 240)","(123854, 199)","(573310, 341)","(331690, 299)","(46505, 170)","(2424595, 604)","(1256172, 492)","(545974, 396)","(2835731, 697)"
31,2,DHM/ILC,,,"(704, 16)","(333, 19)","(6401, 48)","(5891, 51)","(1074, 33)","(105251, 127)","(28329, 98)","(12464, 83)","(129475, 168)","(77656, 153)","(8877, 81)","(575844, 304)","(252818, 242)","(100209, 194)","(642278, 347)","(401673, 303)","(51688, 171)","(2354572, 601)","(1350981, 495)","(545754, 400)","(2858267, 701)"
32,0,FIXED,0.1,0.75,"(1236, 17)","(344, 19)","(7985, 49)","(5695, 51)","(1002, 34)","(109581, 128)","(26511, 97)","(14340, 84)","(118066, 167)","(88590, 155)","(8889, 81)","(577296, 304)","(284110, 246)","(102268, 194)","(583721, 344)","(374670, 304)","(56740, 173)","(2486558, 608)","(1282129, 492)","(558601, 400)","(2561364, 691)"
33,2,DHM/ILC,,,"(622, 16)","(404, 19)","(6750, 49)","(4857, 50)","(951, 33)","(109990, 128)","(27281, 97)","(16228, 84)","(116886, 166)","(82301, 153)","(7986, 81)","(569085, 303)","(248209, 241)","(111858, 195)","(575687, 341)","(324698, 299)","(60583, 174)","(2464951, 606)","(1358776, 494)","(585777, 401)","(2614714, 693)"
34,6,DHM/ILC,,,"(615, 16)","(374, 19)","(7059, 49)","(3400, 49)","(949, 33)","(104844, 127)","(25998, 97)","(15482, 84)","(101108, 165)","(82804, 154)","(10179, 82)","(571067, 303)","(254273, 241)","(122220, 197)","(586836, 341)","(364451, 303)","(53887, 172)","(2379516, 603)","(1372819, 496)","(569331, 399)","(2856497, 697)"
35,2,DHM/ILC,,,"(625, 16)","(272, 19)","(8785, 50)","(4642, 50)","(854, 33)","(102780, 127)","(27500, 98)","(11122, 82)","(109215, 165)","(83577, 153)","(7825, 81)","(580829, 304)","(278105, 244)","(98758, 193)","(549946, 338)","(343839, 301)","(56675, 173)","(2431080, 605)","(1421369, 498)","(555957, 401)","(2581662, 691)"
36,10,ILM/DHC,,,"(615, 16)","(369, 19)","(5899, 48)","(3216, 49)","(702, 33)","(104241, 127)","(32574, 100)","(14062, 83)","(109339, 166)","(85939, 155)","(10566, 82)","(541613, 301)","(245523, 242)","(110519, 194)","(517005, 336)","(355756, 302)","(54589, 172)","(2444688, 606)","(1200881, 489)","(509707, 396)","(2943922, 700)"
37,6,ILM/DHC,,,"(652, 16)","(300, 19)","(7157, 49)","(5122, 50)","(830, 33)","(102374, 127)","(28499, 98)","(11749, 82)","(123542, 168)","(92872, 155)","(8678, 81)","(580896, 304)","(242439, 240)","(106646, 194)","(588089, 342)","(350346, 301)","(49510, 171)","(2382476, 603)","(1336371, 492)","(565446, 398)","(2635405, 692)"
38,4,ILM/DHC,,,"(625, 16)","(416, 19)","(8749, 50)","(4742, 50)","(824, 33)","(97521, 126)","(19470, 95)","(12455, 82)","(99492, 163)","(93404, 155)","(8085, 81)","(596670, 306)","(263758, 242)","(121837, 197)","(624463, 346)","(357844, 300)","(56411, 172)","(2404280, 604)","(1336374, 495)","(582477, 400)","(2622584, 693)"
39,8,DHM/ILC,,,"(1243, 17)","(694, 20)","(7916, 49)","(5389, 50)","(1256, 34)","(102296, 127)","(28590, 98)","(11541, 82)","(111132, 166)","(94562, 156)","(8833, 81)","(604890, 306)","(250103, 242)","(99846, 194)","(602512, 343)","(344981, 300)","(57526, 174)","(2503921, 607)","(1246685, 490)","(597529, 403)","(2762427, 696)"
40,2,ILM/DHC,,,"(617, 16)","(365, 19)","(8167, 50)","(4464, 50)","(1100, 34)","(98126, 126)","(26688, 97)","(13020, 83)","(103778, 164)","(87215, 154)","(9198, 81)","(574726, 304)","(253095, 241)","(96402, 193)","(567755, 340)","(365104, 301)","(53522, 172)","(2422401, 603)","(1258336, 491)","(562654, 398)","(2909125, 700)"
41,4,FIXED,0.2,0.8,"(620, 16)","(264, 19)","(6553, 49)","(3660, 49)","(690, 33)","(98424, 126)","(27345, 98)","(10798, 81)","(118677, 167)","(77037, 153)","(6934, 80)","(581559, 304)","(228095, 239)","(117925, 198)","(542185, 339)","(328799, 298)","(54343, 173)","(2391621, 603)","(1182609, 486)","(545085, 398)","(2719988, 695)"
42,0,FIXED,0.08,0.75,"(648, 16)","(372, 19)","(8860, 50)","(7293, 52)","(837, 33)","(108494, 128)","(31142, 99)","(14896, 84)","(105993, 165)","(90857, 156)","(9193, 81)","(610855, 307)","(288677, 245)","(117826, 198)","(632323, 346)","(344562, 301)","(63032, 175)","(2494372, 608)","(1345815, 497)","(572304, 401)","(2742932, 697)"
43,8,FIXED,0.08,0.9,"(696, 16)","(392, 19)","(10368, 51)","(6623, 52)","(1127, 33)","(107518, 128)","(30756, 98)","(17640, 85)","(103139, 164)","(95427, 156)","(9449, 81)","(590215, 305)","(238868, 241)","(117890, 197)","(568364, 341)","(404204, 307)","(71040, 176)","(2513247, 607)","(1358020, 497)","(606604, 403)","(2792095, 699)"
44,2,DHM/ILC,,,"(1219, 17)","(446, 19)","(7111, 49)","(4167, 50)","(945, 33)","(103307, 127)","(25593, 97)","(15341, 85)","(108045, 165)","(82590, 153)","(7391, 80)","(584555, 304)","(286009, 246)","(93719, 191)","(610449, 344)","(386122, 304)","(55804, 172)","(2466197, 606)","(1381877, 497)","(510664, 395)","(2724172, 697)"
45,0,ILM/DHC,,,"(623, 16)","(321, 19)","(7370, 49)","(5421, 51)","(671, 33)","(110225, 128)","(25029, 96)","(11514, 82)","(109896, 166)","(83585, 154)","(8606, 81)","(580225, 304)","(259876, 243)","(107238, 195)","(580837, 342)","(367257, 301)","(59250, 172)","(2369431, 602)","(1233797, 489)","(529096, 395)","(2716010, 696)"
46,10,FIXED,0.2,0.9,"(620, 16)","(273, 19)","(7063, 49)","(3980, 50)","(739, 33)","(98719, 126)","(23877, 97)","(11854, 83)","(111978, 165)","(85738, 155)","(8167, 81)","(581496, 304)","(259561, 243)","(84803, 191)","(547276, 338)","(335136, 299)","(49430, 171)","(2422147, 604)","(1363019, 496)","(529386, 397)","(2598222, 692)"
47,10,DHM/ILC,,,"(1177, 17)","(322, 19)","(7621, 49)","(4978, 50)","(1217, 34)","(104695, 127)","(28099, 98)","(15494, 84)","(106863, 165)","(81061, 153)","(8442, 81)","(567735, 303)","(244867, 241)","(99638, 193)","(590226, 343)","(367297, 302)","(56922, 173)","(2465098, 607)","(1249388, 490)","(572424, 401)","(2783012, 698)"
48,6,FIXED,0.2,0.85,"(665, 16)","(282, 19)","(6199, 48)","(4843, 50)","(761, 33)","(102281, 127)","(26495, 97)","(12104, 83)","(94158, 163)","(81779, 154)","(8938, 81)","(579354, 304)","(276891, 244)","(108872, 195)","(566571, 342)","(350680, 299)","(50351, 172)","(2401882, 603)","(1320980, 493)","(578880, 401)","(2672932, 693)"
49,0,DHM/ILC,,,"(1173, 17)","(338, 19)","(7505, 49)","(4192, 49)","(783, 33)","(102890, 127)","(30574, 99)","(13545, 83)","(109182, 165)","(94131, 156)","(8375, 81)","(568637, 303)","(276341, 244)","(108207, 196)","(584175, 341)","(380616, 305)","(59894, 174)","(2455580, 606)","(1407109, 499)","(563163, 400)","(2802020, 701)"
50,4,DHM/ILC,,,"(624, 16)","(390, 19)","(8997, 50)","(5268, 50)","(939, 33)","(102559, 127)","(20818, 95)","(13640, 84)","(117176, 166)","(86115, 154)","(9210, 81)","(574086, 304)","(272862, 243)","(106896, 194)","(536663, 338)","(371413, 304)","(56658, 172)","(2509513, 608)","(1321152, 493)","(572087, 400)","(2915199, 699)"
51,2,FIXED,0.15,0.8,"(1161, 17)","(360, 19)","(7233, 49)","(3655, 49)","(774, 33)","(103398, 127)","(25137, 96)","(13419, 83)","(102533, 164)","(91674, 155)","(8869, 82)","(553200, 301)","(248103, 241)","(91424, 192)","(603035, 343)","(368453, 302)","(48774, 171)","(2430879, 604)","(1250685, 492)","(624229, 401)","(2824177, 698)"
52,6,ILM/DHC,,,"(618, 16)","(408, 19)","(7181, 49)","(4954, 50)","(984, 33)","(102388, 127)","(28507, 98)","(12507, 83)","(109911, 166)","(84577, 154)","(8518, 81)","(570008, 304)","(267521, 243)","(117857, 197)","(580015, 341)","(358427, 301)","(62618, 173)","(2428724, 604)","(1329285, 493)","(529701, 395)","(2833774, 697)"
53,8,FIXED,0.1,0.75,"(624, 16)","(696, 20)","(9216, 50)","(5822, 51)","(939, 33)","(104299, 127)","(28339, 98)","(12453, 83)","(127630, 168)","(86282, 154)","(9216, 82)","(582445, 305)","(262997, 242)","(99154, 193)","(588259, 343)","(405654, 307)","(63312, 175)","(2501651, 607)","(1370578, 495)","(602941, 402)","(2996976, 705)"
54,0,FIXED,0.1,0.7,"(620, 16)","(318, 19)","(9049, 50)","(5749, 51)","(926, 33)","(98730, 126)","(30103, 98)","(13617, 83)","(112444, 166)","(76167, 153)","(8887, 81)","(578915, 304)","(222876, 238)","(119798, 197)","(613031, 343)","(394674, 303)","(58406, 173)","(2446396, 605)","(1291519, 491)","(589977, 404)","(2833236, 698)"
55,0,FIXED,0.2,0.7,"(639, 16)","(263, 19)","(7029, 49)","(4356, 50)","(886, 33)","(97710, 126)","(27848, 98)","(11896, 83)","(101416, 164)","(79711, 153)","(7886, 80)","(580352, 304)","(236149, 240)","(98855, 193)","(602674, 342)","(329407, 299)","(55771, 172)","(2410848, 604)","(1356068, 494)","(543912, 399)","(2818688, 697)"
56,8,DHM/ILC,,,"(1163, 17)","(315, 19)","(7256, 49)","(4383, 50)","(655, 33)","(103558, 127)","(39104, 101)","(15712, 85)","(115052, 166)","(88360, 154)","(8607, 81)","(605055, 306)","(225826, 238)","(124128, 196)","(629091, 345)","(351706, 301)","(58341, 173)","(2391920, 604)","(1377320, 498)","(510478, 395)","(3033634, 707)"
57,10,ILM/DHC,,,"(625, 16)","(414, 19)","(9179, 50)","(5096, 51)","(911, 33)","(98263, 126)","(24453, 97)","(16986, 85)","(109115, 165)","(72742, 152)","(8064, 80)","(576309, 303)","(272574, 245)","(99939, 193)","(587201, 342)","(336848, 299)","(54648, 171)","(2455006, 605)","(1322490, 494)","(598120, 403)","(2817034, 695)"
58,0,FIXED,0.1,0.7,"(623, 16)","(822, 20)","(8449, 50)","(6984, 52)","(988, 33)","(103950, 127)","(34200, 100)","(15802, 84)","(107627, 165)","(90720, 155)","(7535, 81)","(605542, 306)","(246637, 241)","(95553, 193)","(588255, 343)","(387002, 304)","(59671, 174)","(2470731, 606)","(1183167, 487)","(607933, 402)","(2916597, 702)"
59,4,FIXED,0.05,0.7,"(1187, 17)","(799, 20)","(11368, 51)","(5912, 51)","(987, 33)","(98789, 126)","(33985, 99)","(17429, 85)","(118425, 167)","(100045, 157)","(8659, 81)","(588727, 304)","(262234, 243)","(122759, 198)","(646958, 346)","(416404, 308)","(64317, 175)","(2473760, 605)","(1429373, 499)","(649625, 404)","(3000333, 706)"
60,10,ILM/DHC,,,"(618, 16)","(307, 19)","(7130, 49)","(5609, 51)","(1356, 34)","(98686, 126)","(28310, 98)","(16104, 84)","(108124, 165)","(82437, 154)","(7532, 80)","(575256, 303)","(279718, 245)","(111223, 196)","(571778, 340)","(354978, 302)","(55548, 172)","(2448909, 606)","(1437614, 499)","(593179, 399)","(2743041, 696)"
61,2,ILM/DHC,,,"(1165, 17)","(524, 20)","(6234, 48)","(6271, 51)","(709, 33)","(102911, 127)","(24016, 96)","(15246, 84)","(116579, 167)","(88701, 155)","(8741, 81)","(553217, 302)","(244514, 241)","(114378, 196)","(584732, 341)","(348878, 301)","(54848, 173)","(2388554, 601)","(1311517, 493)","(542753, 400)","(2665027, 693)"
62,4,DHM/ILC,,,"(620, 16)","(663, 20)","(9433, 50)","(6063, 51)","(1100, 33)","(103297, 127)","(29984, 98)","(14782, 84)","(115354, 166)","(82479, 154)","(9308, 81)","(573640, 303)","(266127, 243)","(101289, 194)","(622994, 344)","(338631, 300)","(53198, 172)","(2447264, 604)","(1287095, 492)","(590172, 401)","(2768501, 697)"
63,6,DHM/ILC,,,"(666, 16)","(699, 20)","(9403, 50)","(5437, 51)","(778, 33)","(103284, 127)","(26604, 97)","(15114, 85)","(91834, 164)","(82956, 154)","(7332, 80)","(593396, 305)","(269851, 245)","(108714, 195)","(618394, 345)","(335164, 300)","(61176, 174)","(2392745, 603)","(1359430, 495)","(589813, 400)","(2745674, 696)"
64,6,ILM/DHC,,,"(1182, 17)","(344, 19)","(7797, 49)","(6155, 51)","(1416, 34)","(99494, 126)","(23490, 96)","(11912, 82)","(99860, 164)","(91531, 155)","(7632, 81)","(558858, 302)","(266774, 243)","(104454, 194)","(557519, 339)","(371913, 303)","(60944, 174)","(2361131, 602)","(1292960, 492)","(516335, 395)","(2788556, 697)"
65,6,FIXED,0.15,0.8,"(623, 16)","(322, 19)","(6719, 49)","(4211, 50)","(1186, 34)","(98794, 126)","(27174, 98)","(13211, 83)","(95152, 163)","(85603, 154)","(7005, 80)","(566204, 303)","(250190, 241)","(93779, 193)","(604611, 342)","(356779, 301)","(49865, 171)","(2392455, 603)","(1266234, 491)","(546450, 396)","(2904577, 702)"
66,8,DHM/ILC,,,"(1199, 17)","(351, 19)","(7761, 49)","(5105, 51)","(982, 33)","(104567, 127)","(26984, 97)","(15164, 84)","(121151, 167)","(85747, 153)","(7345, 80)","(592207, 305)","(255869, 243)","(123330, 197)","(607145, 342)","(376458, 301)","(59841, 175)","(2478511, 607)","(1415115, 498)","(614775, 400)","(2714063, 695)"
67,6,DHM/ILC,,,"(1193, 17)","(360, 19)","(9436, 50)","(5989, 51)","(997, 33)","(98665, 126)","(30509, 99)","(11133, 82)","(103738, 165)","(76306, 152)","(9024, 81)","(565874, 303)","(222596, 238)","(107293, 194)","(558967, 340)","(327006, 299)","(55067, 174)","(2509766, 606)","(1363564, 496)","(541950, 399)","(2814532, 700)"
68,0,DHM/ILC,,,"(674, 16)","(727, 20)","(8518, 50)","(4665, 50)","(1351, 34)","(103623, 127)","(26801, 98)","(12223, 83)","(100993, 164)","(99032, 157)","(10762, 82)","(596406, 305)","(272685, 244)","(113033, 195)","(573465, 340)","(341208, 302)","(58236, 175)","(2473800, 606)","(1416448, 499)","(603336, 403)","(2685213, 695)"
69,8,ILM/DHC,,,"(685, 16)","(373, 19)","(7736, 49)","(5203, 51)","(785, 33)","(98079, 126)","(24746, 97)","(13367, 83)","(107579, 166)","(86153, 155)","(10240, 82)","(556323, 302)","(223242, 238)","(109637, 195)","(593523, 341)","(330205, 299)","(52278, 172)","(2434724, 604)","(1247370, 491)","(545489, 399)","(2889570, 702)"
70,10,ILM/DHC,,,"(620, 16)","(306, 19)","(5733, 48)","(5091, 50)","(956, 33)","(98448, 126)","(23894, 96)","(12908, 83)","(109877, 165)","(98053, 156)","(9766, 82)","(569857, 304)","(235011, 239)","(119279, 197)","(618989, 344)","(339886, 299)","(54335, 172)","(2408096, 604)","(1300773, 492)","(508241, 394)","(2790286, 695)"
71,4,DHM/ILC,,,"(650, 16)","(410, 19)","(7569, 49)","(4718, 50)","(986, 33)","(103217, 127)","(32034, 99)","(12397, 83)","(113005, 166)","(97347, 156)","(7737, 80)","(592400, 305)","(277093, 245)","(93834, 193)","(577777, 341)","(353992, 301)","(61011, 173)","(2412628, 604)","(1342331, 497)","(537590, 399)","(2891309, 702)"
72,2,FIXED,0.15,0.75,"(1210, 17)","(285, 19)","(9012, 50)","(4955, 50)","(885, 33)","(97549, 126)","(25184, 97)","(12989, 83)","(117644, 167)","(94818, 156)","(7369, 80)","(590260, 305)","(238692, 240)","(114692, 197)","(602772, 343)","(332195, 298)","(59471, 173)","(2400774, 604)","(1160105, 486)","(554088, 397)","(2920572, 703)"
73,4,DHM/ILC,,,"(1198, 17)","(313, 19)","(9216, 50)","(5005, 50)","(668, 33)","(98190, 126)","(22570, 96)","(13924, 84)","(106503, 165)","(91227, 155)","(8764, 81)","(591850, 305)","(258513, 243)","(110301, 195)","(601431, 344)","(364094, 302)","(40850, 169)","(2463312, 605)","(1376321, 496)","(586440, 402)","(2831073, 699)"
74,10,FIXED,0.05,0.85,"(1204, 17)","(812, 20)","(7888, 49)","(7940, 52)","(1314, 34)","(104603, 127)","(36236, 100)","(18164, 85)","(114746, 166)","(96351, 155)","(11669, 83)","(596848, 305)","(293346, 246)","(115423, 195)","(649861, 347)","(385707, 305)","(60304, 173)","(2659537, 613)","(1467033, 501)","(668842, 408)","(2953722, 704)"
75,8,DHM/ILC,,,"(670, 16)","(707, 20)","(7047, 49)","(4388, 50)","(978, 33)","(107568, 128)","(31189, 99)","(14494, 84)","(106619, 165)","(82841, 153)","(8579, 81)","(588163, 304)","(288648, 246)","(104041, 196)","(628521, 346)","(383438, 304)","(60628, 173)","(2451510, 605)","(1359812, 495)","(593692, 403)","(2672368, 693)"
76,8,ILM/DHC,,,"(615, 16)","(312, 19)","(7330, 49)","(4776, 50)","(1176, 34)","(103732, 127)","(31283, 99)","(15217, 85)","(117202, 166)","(82103, 154)","(9523, 81)","(574577, 303)","(222508, 238)","(86254, 192)","(604541, 343)","(396984, 305)","(59961, 174)","(2470102, 606)","(1226323, 490)","(557223, 398)","(2802056, 699)"
77,0,ILM/DHC,,,"(620, 16)","(267, 19)","(7007, 49)","(6155, 51)","(841, 33)","(97805, 126)","(27516, 98)","(14256, 84)","(115972, 166)","(79442, 153)","(10600, 82)","(597365, 305)","(246965, 242)","(87415, 192)","(588098, 343)","(332914, 301)","(63815, 175)","(2399452, 602)","(1262403, 491)","(491155, 394)","(2710116, 696)"
78,4,FIXED,0.1,0.7,"(624, 16)","(249, 19)","(6884, 49)","(5085, 50)","(887, 33)","(98678, 126)","(29708, 98)","(13830, 83)","(120549, 167)","(81465, 154)","(9338, 81)","(547958, 302)","(267498, 243)","(107453, 196)","(558298, 339)","(376451, 303)","(53046, 172)","(2374020, 602)","(1211883, 487)","(601342, 401)","(2811883, 698)"
79,10,DHM/ILC,,,"(1185, 17)","(406, 19)","(9363, 50)","(5656, 51)","(1058, 34)","(104330, 127)","(30911, 99)","(14524, 84)","(115134, 166)","(86994, 154)","(7323, 80)","(607201, 305)","(270956, 244)","(96487, 192)","(629615, 345)","(349475, 301)","(55352, 172)","(2499173, 608)","(1255937, 489)","(560866, 401)","(2868817, 701)"
80,6,FIXED,0.2,0.9,"(615, 16)","(212, 19)","(6928, 49)","(4121, 50)","(1196, 34)","(102934, 127)","(32825, 99)","(14625, 83)","(108528, 165)","(78307, 153)","(8115, 81)","(581631, 304)","(260397, 243)","(100971, 193)","(567079, 342)","(380551, 303)","(44239, 170)","(2413179, 604)","(1269477, 491)","(556303, 399)","(2453032, 684)"
81,8,ILM/DHC,,,"(618, 16)","(365, 19)","(6007, 48)","(4685, 50)","(590, 32)","(97761, 126)","(24992, 97)","(12645, 83)","(97291, 162)","(84040, 154)","(11285, 83)","(570978, 303)","(272348, 244)","(90862, 192)","(575816, 339)","(340523, 300)","(51011, 172)","(2420633, 604)","(1210830, 487)","(607768, 399)","(2936624, 701)"
82,4,DHM/ILC,,,"(615, 16)","(318, 19)","(5952, 48)","(5989, 51)","(885, 33)","(103365, 127)","(29062, 98)","(18794, 86)","(102115, 164)","(90593, 156)","(7968, 80)","(571173, 303)","(278868, 246)","(112636, 197)","(599994, 344)","(396899, 305)","(54543, 172)","(2417699, 604)","(1230508, 491)","(548190, 398)","(2789972, 697)"
83,2,FIXED,0.1,0.8,"(621, 16)","(286, 19)","(9136, 50)","(4799, 50)","(1088, 33)","(97532, 126)","(21605, 95)","(12565, 83)","(115508, 166)","(72348, 152)","(9104, 81)","(596837, 305)","(262162, 242)","(97437, 192)","(594070, 342)","(318784, 299)","(62256, 174)","(2428534, 604)","(1282820, 493)","(604613, 401)","(2621050, 694)"
84,0,DHM/ILC,,,"(1229, 17)","(671, 20)","(6371, 48)","(4381, 50)","(837, 33)","(109853, 128)","(25533, 97)","(17077, 85)","(118815, 167)","(67025, 151)","(9687, 82)","(556944, 302)","(247960, 242)","(114362, 197)","(620755, 345)","(327561, 299)","(57138, 173)","(2409503, 604)","(1332682, 495)","(528721, 398)","(2843131, 701)"
85,6,FIXED,0.1,0.85,"(1226, 17)","(350, 19)","(8764, 50)","(6307, 51)","(825, 33)","(98913, 126)","(30590, 98)","(11630, 82)","(105813, 165)","(79934, 153)","(10183, 83)","(576562, 304)","(271022, 243)","(107048, 195)","(587595, 342)","(366136, 303)","(52331, 171)","(2430015, 605)","(1356679, 496)","(583456, 401)","(2764596, 695)"
86,6,DHM/ILC,,,"(634, 16)","(369, 19)","(7328, 49)","(5069, 51)","(1152, 34)","(98668, 126)","(31375, 98)","(13928, 84)","(110937, 165)","(96070, 157)","(9299, 82)","(593744, 304)","(305666, 247)","(84762, 190)","(582314, 341)","(355764, 302)","(50493, 171)","(2495675, 608)","(1299567, 494)","(599318, 402)","(2765433, 696)"
87,10,FIXED,0.12,0.8,"(1161, 17)","(503, 19)","(7791, 49)","(5272, 50)","(858, 33)","(102760, 127)","(30174, 98)","(14444, 84)","(107477, 164)","(89122, 156)","(10434, 82)","(570667, 303)","(204163, 236)","(101508, 193)","(577184, 342)","(416218, 304)","(46486, 171)","(2487742, 607)","(1396633, 498)","(605480, 402)","(2854740, 699)"
88,2,FIXED,0.2,0.7,"(620, 16)","(342, 19)","(7298, 49)","(3276, 49)","(363, 32)","(102694, 127)","(21172, 95)","(12344, 83)","(105814, 165)","(78660, 153)","(6604, 80)","(561540, 303)","(217967, 239)","(92563, 192)","(548137, 339)","(347295, 301)","(61191, 173)","(2366190, 601)","(1256539, 491)","(542823, 398)","(2651794, 692)"
89,4,ILM/DHC,,,"(618, 16)","(380, 19)","(6026, 48)","(3572, 49)","(763, 33)","(103822, 127)","(24878, 97)","(14103, 83)","(104572, 164)","(92578, 155)","(8815, 81)","(577458, 304)","(279812, 245)","(105130, 194)","(562073, 340)","(333146, 300)","(54756, 172)","(2485876, 607)","(1448870, 500)","(599652, 402)","(2758107, 697)"
90,0,ILM/DHC,,,"(1210, 17)","(319, 19)","(7023, 49)","(5360, 51)","(878, 33)","(104559, 127)","(21627, 96)","(12019, 83)","(103203, 164)","(76230, 153)","(8028, 81)","(578433, 304)","(221875, 239)","(102345, 192)","(527477, 337)","(365534, 301)","(53123, 172)","(2469086, 605)","(1398736, 498)","(502086, 396)","(2656657, 694)"
91,6,FIXED,0.12,0.75,"(624, 16)","(286, 19)","(7043, 49)","(4892, 50)","(722, 33)","(99164, 126)","(30734, 98)","(13756, 83)","(101365, 165)","(86119, 155)","(8505, 81)","(585257, 305)","(259259, 242)","(118478, 197)","(559843, 340)","(367487, 304)","(60707, 174)","(2512342, 608)","(1352366, 495)","(625513, 401)","(2916502, 701)"
92,6,FIXED,0.05,0.8,"(1183, 17)","(760, 20)","(7661, 49)","(6118, 51)","(1886, 35)","(104662, 127)","(31478, 98)","(17204, 85)","(127219, 169)","(98342, 156)","(10432, 81)","(588167, 304)","(302939, 247)","(122715, 197)","(682862, 349)","(392021, 306)","(61341, 173)","(2463407, 606)","(1475424, 502)","(667631, 406)","(3170418, 711)"
93,6,ILM/DHC,,,"(620, 16)","(385, 19)","(7219, 49)","(5002, 50)","(1226, 34)","(99339, 126)","(20698, 95)","(12969, 83)","(94516, 163)","(94104, 156)","(9610, 82)","(586735, 304)","(248677, 242)","(117344, 197)","(578598, 340)","(372747, 301)","(56039, 173)","(2467227, 606)","(1207088, 488)","(604163, 402)","(2668919, 692)"
94,4,ILM/DHC,,,"(620, 16)","(340, 19)","(6947, 49)","(4864, 50)","(832, 33)","(102676, 127)","(34555, 99)","(10796, 82)","(100221, 164)","(81492, 154)","(10497, 82)","(568116, 303)","(236678, 241)","(92049, 193)","(543808, 337)","(382108, 303)","(56298, 172)","(2417545, 603)","(1273776, 493)","(558778, 399)","(2721182, 693)"
95,2,FIXED,0.05,0.85,"(653, 16)","(683, 20)","(9707, 50)","(7100, 51)","(1234, 33)","(105779, 127)","(39076, 101)","(17583, 85)","(130772, 169)","(95480, 156)","(10700, 82)","(592940, 304)","(315113, 248)","(127430, 198)","(627704, 345)","(387533, 304)","(71203, 176)","(2531872, 610)","(1488938, 501)","(706426, 408)","(2910939, 699)"
96,2,DHM/ILC,,,"(620, 16)","(313, 19)","(7234, 49)","(4941, 50)","(777, 33)","(104497, 127)","(27868, 97)","(14735, 83)","(100453, 163)","(88737, 155)","(11238, 83)","(581161, 304)","(239129, 240)","(100019, 193)","(626250, 344)","(389267, 305)","(62534, 174)","(2453213, 604)","(1443390, 501)","(534928, 398)","(2908505, 701)"
97,4,FIXED,0.2,0.7,"(615, 16)","(527, 20)","(6980, 49)","(3496, 50)","(409, 32)","(97771, 126)","(28033, 98)","(10150, 81)","(109111, 165)","(72228, 152)","(6223, 80)","(565377, 302)","(218608, 238)","(89903, 191)","(564696, 339)","(310772, 296)","(47187, 170)","(2423561, 604)","(1281900, 490)","(560650, 398)","(2719774, 695)"
