,elitism size,mc option,mutation prob,crossover prob,"instance 0 value, num stocks","instance 1 value, num stocks","instance 2 value, num stocks","instance 3 value, num stocks","instance 4 value, num stocks","instance 5 value, num stocks","instance 6 value, num stocks","instance 7 value, num stocks","instance 8 value, num stocks","instance 9 value, num stocks","instance 10 value, num stocks","instance 11 value, num stocks","instance 12 value, num stocks","instance 13 value, num stocks","instance 14 value, num stocks","instance 15 value, num stocks","instance 16 value, num stocks","instance 17 value, num stocks","instance 18 value, num stocks","instance 19 value, num stocks","instance 20 value, num stocks"
123,0,ILM/DHC,,,"(627, 16)","(715, 20)","(10677, 51)","(5370, 51)","(857, 33)","(109656, 128)","(27737, 98)","(15352, 85)","(118476, 166)","(79982, 154)","(7372, 80)","(580569, 304)","(262496, 243)","(102614, 194)","(573491, 342)","(339039, 301)","(48524, 170)","(2456519, 605)","(1191538, 488)","(585699, 400)","(2709675, 694)"
124,0,ILM/DHC,,,"(1223, 17)","(387, 19)","(7001, 49)","(4465, 50)","(823, 33)","(103486, 127)","(26294, 97)","(10702, 82)","(119840, 167)","(86172, 154)","(10386, 82)","(568013, 303)","(277605, 244)","(101851, 194)","(585539, 343)","(336596, 300)","(54591, 172)","(2484263, 606)","(1129922, 485)","(531466, 396)","(2630877, 694)"
125,10,DHM/ILC,,,"(1241, 17)","(460, 19)","(9155, 50)","(6229, 51)","(767, 33)","(104314, 127)","(28125, 98)","(15230, 84)","(107901, 165)","(91570, 155)","(9621, 81)","(561300, 302)","(281875, 245)","(115930, 198)","(572480, 342)","(366469, 304)","(57767, 172)","(2454245, 607)","(1258098, 491)","(630892, 403)","(2842793, 700)"
126,0,ILM/DHC,,,"(1179, 17)","(336, 19)","(7471, 49)","(4950, 50)","(775, 33)","(104214, 127)","(22417, 96)","(12684, 83)","(117042, 167)","(94906, 156)","(9375, 82)","(585178, 304)","(239810, 241)","(118146, 198)","(544473, 339)","(318640, 297)","(49298, 173)","(2429754, 603)","(1244778, 490)","(555971, 398)","(2665157, 694)"
127,0,DHM/ILC,,,"(628, 16)","(714, 20)","(7776, 49)","(5494, 51)","(778, 33)","(110178, 128)","(24707, 97)","(16375, 84)","(118971, 167)","(98670, 157)","(10584, 82)","(578513, 304)","(200113, 236)","(114952, 197)","(633290, 345)","(384705, 304)","(63579, 175)","(2403198, 604)","(1434701, 500)","(607022, 404)","(2612305, 691)"
128,8,ILM/DHC,,,"(673, 16)","(671, 20)","(7677, 49)","(4465, 50)","(833, 33)","(103676, 127)","(27983, 98)","(11521, 82)","(92512, 162)","(87260, 155)","(6680, 80)","(585133, 304)","(237969, 240)","(125917, 198)","(528604, 339)","(355384, 302)","(54184, 173)","(2546771, 609)","(1189825, 488)","(538190, 397)","(2920796, 702)"
129,4,ILM/DHC,,,"(626, 16)","(272, 19)","(8275, 50)","(6152, 51)","(707, 33)","(103782, 127)","(21002, 95)","(10040, 82)","(110847, 165)","(86034, 155)","(8148, 81)","(578374, 303)","(274007, 244)","(97464, 193)","(576834, 341)","(358013, 301)","(57919, 174)","(2416742, 603)","(1364968, 495)","(567661, 398)","(2804931, 699)"
130,4,ILM/DHC,,,"(621, 16)","(343, 19)","(7564, 49)","(6011, 51)","(888, 33)","(98297, 126)","(24154, 96)","(13548, 84)","(115468, 166)","(84768, 154)","(10181, 81)","(598662, 305)","(250194, 241)","(114808, 196)","(598960, 343)","(338376, 299)","(61647, 173)","(2488765, 607)","(1329304, 493)","(544458, 401)","(2736488, 694)"
131,6,ILM/DHC,,,"(628, 16)","(264, 19)","(7699, 49)","(6474, 51)","(1006, 33)","(98797, 126)","(26712, 97)","(12506, 83)","(105942, 165)","(80140, 154)","(9401, 81)","(573576, 303)","(261098, 243)","(112070, 196)","(544909, 340)","(380864, 302)","(56564, 172)","(2410741, 604)","(1265249, 492)","(607538, 402)","(2755391, 695)"
132,0,ILM/DHC,,,"(620, 16)","(442, 19)","(7007, 49)","(4598, 50)","(910, 33)","(98934, 126)","(22892, 96)","(11654, 82)","(106375, 164)","(81996, 153)","(10174, 82)","(578741, 304)","(285975, 245)","(119281, 196)","(539448, 338)","(353848, 300)","(60958, 174)","(2459639, 605)","(1237587, 490)","(578787, 402)","(2656745, 692)"
133,2,ILM/DHC,,,"(672, 16)","(243, 19)","(7385, 49)","(3330, 49)","(908, 33)","(102886, 127)","(23179, 96)","(13578, 83)","(100129, 164)","(77098, 153)","(9193, 81)","(578072, 304)","(254627, 242)","(101398, 195)","(591189, 342)","(346899, 302)","(56465, 173)","(2459033, 605)","(1310285, 494)","(575731, 400)","(2666336, 692)"
